bucket_id,count,name,agent
2,6824,SECURITY,security
1,4056,MAINTAINABILITY,code_maintainability
16,3679,USER_STORY,business_validation_agent
15,3343,CODE_QUALITY,code_maintainability
12,3269,CODE_ROBUSTNESS,code_maintainability
32,2883,RUNTIME_ERROR,error
27,2506,SEMANTIC,error
13,2005,PERFORMANCE,performance_optimisation
11,1912,ERROR,error
17,1869,READABILITY,code_maintainability
30,1726,RUNTIME,error
33,752,SEMANTIC_ERROR,error
4,680,DOCSTRING,code_communication
18,587,REUSABILITY,code_maintainability
10,537,DATABASE_PERFORMANCE,performance_optimisation
8,461,ALGORITHM_EFFICIENCY,performance_optimisation
6,321,ARCHITECTURE,code_maintainability
19,315,LOGICAL_ERROR,error
29,239,LOGICAL,error
37,177,EDGE_CASE,code_maintainability
31,166,SYNTAX,code_maintainability
3,165,DOCUMENTATION,code_communication
53,116,{ERROR},error
14,104,LOGGING,code_communication
35,102,IMPROVEMENT,code_maintainability
20,65,SYNTAX_ERROR,error
43,49,EDGE_CASES,code_maintainability
5,33,TESTING,code_maintainability
57,22,CLEANUP,code_maintainability
28,22,{SECURITY},security
51,16,ENHANCEMENT,code_maintainability
58,16,FEATURE,business_validation_agent
34,9,INFO,code_communication
26,8,ACCESSIBILITY,business_validation_agent
24,8,BUSINESS_LOGIC,business_validation_agent
38,8,STYLE,code_maintainability
7,8,DEPENDENCIES,code_maintainability
46,7,LOGIC,error
63,6,LOGIC_ERROR,error
45,6,REMOVED,code_communication
54,6,OPTIMIZATION,performance_optimisation
55,6,ERROR_HANDLING,error
69,5,API_CHANGE,error
23,4,VALID_IMPLEMENTATION,code_maintainability
80,4,REFACTOR,code_maintainability
59,4,INFORMATIONAL,code_communication
9,4,RESOURCE_MANAGEMENT,performance_optimisation
71,4,BEST_PRACTICE,code_maintainability
47,4,VALID,code_maintainability
68,3,LAYOUT,business_validation_agent
52,3,RESOLVED,code_communication
60,3,VISUAL,business_validation_agent
65,3,WARNING,code_communication
66,2,BEST_PRACTICES,code_maintainability
82,2,CODE ROBUSTNESS,code_maintainability
48,2,RUNTIMEERROR,error
81,2,CODE COMMUNICATION,code_communication
67,2,CONFIGURATION,code_maintainability
83,2,DEPENDENCY,code_maintainability
41,2,CORRECT_IMPLEMENTATION,code_maintainability
62,2,{INFO},code_communication
77,2,SECURITY_ERROR,security
73,2,{RUNTIME_ERROR},error
39,2,RUNTIME_ERRORS,error
21,2,NAMING_CONVENTIONS,code_maintainability
89,1,SEMANTIC ERROR,error
93,1,SECURITY_-_ALWAYS_THIS_VALUE_SINCE_ITS_A_SECURITY_AGENT,security
61,1,UNUSED_CODE,code_maintainability
92,1,UI,business_validation_agent
25,1,TEST_QUALITY,code_maintainability
49,1,SEMANTICERROR,error
84,1,CONFIG,code_maintainability
86,1,LOCALIZATION,business_validation_agent
90,1,CORRECT,code_maintainability
70,1,TYPE_SAFETY,code_maintainability
96,1,CODE_STYLE,code_maintainability
74,1,IMPACT,code_maintainability
76,1,DEPENDENCY_UPDATE,code_maintainability
87,1,TODO,code_communication
42,1,MAINTENANCE,code_maintainability
56,1,CONFIGURATION_ERROR,error
88,1,RUNTIME ERROR,error
44,1,UNUSED_VARIABLE,code_maintainability
40,1,SEMANTIC_ERRORS,error
98,1,ALGORITHMIC_EFFICIENCY,performance_optimisation
75,1,COMMENT,code_communication
22,1,USER_EXPERIENCE,business_validation_agent
97,1,BREAKING_CHANGE,error
50,1,CONFIGURATION_UPDATE,code_communication
36,1,NO_ERROR,code_communication
72,1,CLEAN_CODE,code_maintainability
95,1,COMPATIBILITY,error
